2023-07-13,00:20:16.058532,Thuy Linh,-78,2437000,58:9b:4a:39:d6:d5:
2023-07-13,00:20:16.058532,Sansan,-87,2432000,50:42:89:4f:fa:e8:
2023-07-13,00:20:30.455775,C23.11,-35,2412000,30:4f:75:12:f9:68:
2023-07-13,00:20:30.455775,C23.11,-41,5805000,30:4f:75:12:f9:69:
2023-07-13,00:20:30.455775,C23.11,-35,2412000,30:4f:75:12:f9:68:
2023-07-13,00:20:30.455775,C23.11,-41,5805000,30:4f:75:12:f9:69:
2023-07-13,00:35:35.497448,C23.11,-47,2412000,30:4f:75:12:f9:68:
2023-07-13,00:35:35.497448,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:35:35.497448,C23.11,-47,2412000,30:4f:75:12:f9:68:
2023-07-13,00:35:35.497448,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:35:36.762998,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:35:36.762998,C23.11,-47,2412000,30:4f:75:12:f9:68:
2023-07-13,00:35:36.762998,Thao@ 2.4G,-67,2462000,58:9b:4a:37:0a:2d:
2023-07-13,00:35:36.762998,To Nhi 2.4G,-71,2457000,24:0b:2a:58:4c:f1:
2023-07-13,00:35:36.762998,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:35:36.762998,C23.11,-47,2412000,30:4f:75:12:f9:68:
2023-07-13,00:35:36.762998,Sansan,-88,2442000,a0:09:2e:12:f2:86:
2023-07-13,00:35:49.799570,C23.11,-47,2412000,30:4f:75:12:f9:68:
2023-07-13,00:35:49.799570,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:35:49.799570,C23.11,-47,2412000,30:4f:75:12:f9:68:
2023-07-13,00:35:49.799570,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:36:47.535117,C23.11,-50,2412000,30:4f:75:12:f9:68:
2023-07-13,00:36:47.535117,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:36:47.535117,C23.11,-50,2412000,30:4f:75:12:f9:68:
2023-07-13,00:36:47.535117,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:37:29.913848,C23.11,-48,2412000,30:4f:75:12:f9:68:
2023-07-13,00:37:29.913848,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,00:37:29.913848,C23.11,-48,2412000,30:4f:75:12:f9:68:
2023-07-13,00:37:29.913848,C23.11,-47,5805000,30:4f:75:12:f9:69:
2023-07-13,09:49:19.615352,FPT TELECOM,-49,2412000,b8:3a:5a:e5:27:82:
2023-07-13,09:49:19.615352,FPT TELECOM,-66,2412000,b8:3a:5a:e4:e2:02:
2023-07-13,09:49:19.615352,FPT TELECOM,-49,5260000,b8:3a:5a:e5:27:92:
2023-07-13,09:49:19.615352,CTS,-45,2412000,a4:83:7a:b1:05:8c:
2023-07-13,09:49:19.615352,HoangAnh,-83,2412000,04:18:d6:a9:3d:a3:
2023-07-13,09:49:19.615352,FPT TELECOM,-49,2412000,b8:3a:5a:e5:27:82:
2023-07-13,09:49:19.615352,FPT TELECOM,-66,2412000,b8:3a:5a:e4:e2:02:
2023-07-13,09:49:19.615352,FPT TELECOM,-49,5260000,b8:3a:5a:e5:27:92:
2023-07-13,09:49:19.615352,CTS,-45,2412000,a4:83:7a:b1:05:8c:
2023-07-13,09:49:22.308373,FPT TELECOM,-49,5260000,b8:3a:5a:e5:27:92:
2023-07-13,09:49:22.308373,FPT TELECOM,-77,5745000,b8:3a:5a:e4:e7:f2:
2023-07-13,09:49:22.308373,FPT TELECOM,-51,2462000,b8:3a:5a:e5:83:c2:
2023-07-13,09:49:22.308373,FPT TELECOM,-49,2412000,b8:3a:5a:e5:27:82:
2023-07-13,09:49:22.308373,FPT TELECOM,-66,2412000,b8:3a:5a:e4:e2:02:
2023-07-13,09:49:22.308373,CTS-5GHZ.,-32,5180000,a4:85:7a:b1:05:8c:
2023-07-13,09:49:22.308373,CTS,-45,2412000,a4:83:7a:b1:05:8c:
2023-07-13,09:49:22.308373,FPT TELECOM,-49,5260000,b8:3a:5a:e5:27:92:
2023-07-13,09:49:22.308373,FPT TELECOM,-77,5745000,b8:3a:5a:e4:e7:f2:
2023-07-13,09:49:22.308373,FPT TELECOM,-51,2462000,b8:3a:5a:e5:83:c2:
2023-07-13,09:49:22.308373,FPT TELECOM,-49,2412000,b8:3a:5a:e5:27:82:
2023-07-13,09:49:22.308373,FPT TELECOM,-66,2412000,b8:3a:5a:e4:e2:02:
2023-07-13,09:49:22.308373,ThatSon1,-85,5825000,06:0d:9e:17:8f:b1:
2023-07-13,09:49:22.308373,WCCVL-NH,-77,5785000,7a:45:58:80:f7:6f:
2023-07-13,09:49:22.308373,WCCVL-NH,-74,2437000,78:45:58:80:f7:70:
